YMD_ID,HH_ID,GETOFF_CNT
20220420,12,472
20220420,13,437
20220420,14,525
20220420,15,518
20220420,16,790
20220420,17,859
20220420,18,1142
20220420,19,932
20220420,20,537
20220420,21,509
20220420,22,483
20220420,23,382
20220421,0,199
20220421,1,20
20220421,5,6
20220421,6,241
20220421,7,868
20220421,8,1338
20220421,9,703
20220421,10,499
20220421,11,473
20220421,12,488
20220421,13,482
20220421,14,456
20220421,15,617
20220421,16,877
20220421,17,920
20220421,18,1168
20220421,19,857
20220421,20,561
20220421,21,542
20220421,22,509
20220421,23,411
20220422,0,239
20220422,5,4
20220422,6,235
20220422,7,781
20220422,8,1299
20220422,9,696
20220422,10,416
20220422,11,500
20220422,12,475
20220422,13,489
20220422,14,588
20220422,15,760
20220422,16,995
20220422,17,1155
20220422,18,1303
20220422,19,1052
20220422,20,711
20220422,21,534
20220422,22,472
20220422,23,417
20220423,0,247
20220423,1,33
20220423,5,2
20220423,6,155
20220423,7,246
20220423,8,413
20220423,9,418
20220423,10,472
20220423,11,456
20220423,12,459
20220423,13,433
20220423,14,472
20220423,15,513
20220423,16,492
20220423,17,505
20220423,18,518
20220423,19,387
20220423,20,411
20220423,21,408
20220423,22,394
20220423,23,352
20220424,0,218
20220424,5,2
20220424,6,63
20220424,7,120
20220424,8,192
20220424,9,237
20220424,10,276
20220424,11,307
20220424,12,271
20220424,13,295
20220424,14,333
20220424,15,424
20220424,16,436
20220424,17,437
20220424,18,490
20220424,19,488
20220424,20,476
20220424,21,438
20220424,22,345
20220424,23,262
20220425,0,131
20220425,5,7
20220425,6,325
20220425,7,956
20220425,8,1385
20220425,9,703
20220425,10,416
20220425,11,412
20220425,12,500
20220425,13,441
20220425,14,478
20220425,15,579
20220425,16,724
20220425,17,833
20220425,18,1158
20220425,19,778
20220425,20,527
20220425,21,420
20220425,22,420
20220425,23,365
20220426,0,152
20220426,1,11
20220426,5,2
20220426,6,224
20220426,7,853
20220426,8,1225
20220426,9,670
20220426,10,409
20220426,11,416
20220426,12,451
20220426,13,442
20220426,14,444
20220426,15,564
20220426,16,807
20220426,17,843
20220426,18,1187
20220426,19,821
20220426,20,545
20220426,21,489
20220426,22,547
20220426,23,413
20220427,0,212
20220427,5,2
20220427,6,279
20220427,7,845
20220427,8,1294
20220427,9,723
20220427,10,462
20220427,11,427
20220427,12,499
20220427,13,525
20220427,14,471
20220427,15,573
20220427,16,818
20220427,17,859
20220427,18,1223
20220427,19,916
20220427,20,505
20220427,21,476
20220427,22,525
20220427,23,457
20220428,0,242
20220428,5,2
20220428,6,266
20220428,7,806
20220428,8,1387
20220428,9,809
20220428,10,496
20220428,11,410
20220428,12,482
20220428,13,536
20220428,14,480
20220428,15,655
20220428,16,874
20220428,17,883
20220428,18,1199
20220428,19,881
20220428,20,548
20220428,21,569
20220428,22,562
20220428,23,419
20220429,0,248
20220429,5,5
20220429,6,214
20220429,7,721
20220429,8,1213
20220429,9,709
20220429,10,429
20220429,11,483
20220429,12,522
20220429,13,585
20220429,14,696
20220429,15,812
20220429,16,1064
20220429,17,1080
20220429,18,1353
20220429,19,1086
20220429,20,768
20220429,21,534
20220429,22,523
20220429,23,446
20220430,0,271
20220430,5,6
20220430,6,130
20220430,7,264
20220430,8,387
20220430,9,473
20220430,10,500
20220430,11,507
20220430,12,521
20220430,13,461
20220430,14,521
20220430,15,583
20220430,16,527
20220430,17,621
20220430,18,534
20220430,19,489
20220430,20,456
20220430,21,460
20220430,22,414
20220430,23,362
20220501,0,235
20220501,5,5
20220501,6,70
20220501,7,115
20220501,8,269
20220501,9,284
20220501,10,297
20220501,11,391
20220501,12,324
20220501,13,361
20220501,14,389
20220501,15,535
20220501,16,528
20220501,17,488
20220501,18,564
20220501,19,538
20220501,20,519
20220501,21,433
20220501,22,431
20220501,23,301
20220502,0,166
20220502,5,2
20220502,6,336
20220502,7,957
20220502,8,1443
20220502,9,654
20220502,10,431
20220502,11,407
20220502,12,512
20220502,13,499
20220502,14,476
20220502,15,578
20220502,16,725
20220502,17,830
20220502,18,1108
20220502,19,890
20220502,20,544
20220502,21,517
20220502,22,489
20220502,23,426
20220503,0,214
20220503,5,8
20220503,6,263
20220503,7,912
20220503,8,1367
20220503,9,747
20220503,10,501
20220503,11,357
20220503,12,483
20220503,13,517
20220503,14,531
20220503,15,626
20220503,16,817
20220503,17,885
20220503,18,1227
20220503,19,808
20220503,20,563
20220503,21,556
20220503,22,615
20220503,23,511
20220504,0,231
20220504,5,2
20220504,6,287
20220504,7,834
20220504,8,1343
20220504,9,707
20220504,10,479
20220504,11,436
20220504,12,509
20220504,13,507
20220504,14,589
20220504,15,781
20220504,16,887
20220504,17,1081
20220504,18,1271
20220504,19,1257
20220504,20,773
20220504,21,555
20220504,22,591
20220504,23,502
20220505,0,283
20220505,1,35
20220505,5,3
20220505,6,104
20220505,7,213
20220505,8,278
20220505,9,407
20220505,10,434
20220505,11,498
20220505,12,445
20220505,13,386
20220505,14,535
20220505,15,476
20220505,16,511
20220505,17,512
20220505,18,477
