YMD_ID,HH_ID,GETON_CNT
20211125,22,532
20211125,23,351
20211126,0,73
20211126,5,61
20211126,6,440
20211126,7,1013
20211126,8,942
20211126,9,574
20211126,10,460
20211126,11,502
20211126,12,463
20211126,13,524
20211126,14,717
20211126,15,822
20211126,16,1037
20211126,17,1172
20211126,18,1310
20211126,19,792
20211126,20,620
20211126,21,494
20211126,22,472
20211126,23,327
20211127,0,100
20211127,1,0
20211127,5,53
20211127,6,180
20211127,7,274
20211127,8,395
20211127,9,466
20211127,10,480
20211127,11,460
20211127,12,427
20211127,13,470
20211127,14,518
20211127,15,565
20211127,16,475
20211127,17,540
20211127,18,403
20211127,19,374
20211127,20,353
20211127,21,392
20211127,22,300
20211127,23,325
20211128,0,67
20211128,5,22
20211128,6,78
20211128,7,117
20211128,8,220
20211128,9,274
20211128,10,340
20211128,11,318
20211128,12,290
20211128,13,372
20211128,14,426
20211128,15,437
20211128,16,497
20211128,17,552
20211128,18,407
20211128,19,507
20211128,20,492
20211128,21,323
20211128,22,299
20211128,23,248
20211129,0,49
20211129,5,74
20211129,6,556
20211129,7,1146
20211129,8,1040
20211129,9,625
20211129,10,370
20211129,11,458
20211129,12,424
20211129,13,451
20211129,14,513
20211129,15,680
20211129,16,707
20211129,17,896
20211129,18,1069
20211129,19,633
20211129,20,526
20211129,21,463
20211129,22,419
20211129,23,319
20211202,0,68
20211202,5,61
20211202,6,474
20211202,7,1028
20211202,8,950
20211202,9,542
20211202,10,374
20211202,11,466
20211202,12,433
20211202,13,422
20211202,14,494
20211202,15,673
20211202,16,778
20211202,17,940
20211202,18,1071
20211202,19,620
20211202,20,550
20211202,21,489
20211202,22,456
20211202,23,310
20211203,0,84
20211203,1,0
20211203,5,46
20211203,6,439
20211203,7,1005
20211203,8,948
20211203,9,514
20211203,10,410
20211203,11,531
20211203,12,575
20211203,13,529
20211203,14,642
20211203,15,831
20211203,16,931
20211203,17,1100
20211203,18,1327
20211203,19,780
20211203,20,582
20211203,21,452
20211203,22,430
20211203,23,312
20211204,0,107
20211204,5,44
20211204,6,156
20211204,7,246
20211204,8,350
20211204,9,413
20211204,10,483
20211204,11,470
20211204,12,414
20211204,13,383
20211204,14,439
20211204,15,494
20211204,16,495
20211204,17,506
20211204,18,372
20211204,19,341
20211204,20,322
20211204,21,329
20211204,22,285
20211204,23,267
20211205,0,63
20211205,5,25
20211205,6,79
20211205,7,119
20211205,8,218
20211205,9,250
20211205,10,274
20211205,11,278
20211205,12,297
20211205,13,338
20211205,14,375
20211205,15,466
20211205,16,500
20211205,17,570
20211205,18,372
20211205,19,433
20211205,20,474
20211205,21,326
20211205,22,308
